Id,SalePrice
1461,120513.11242586013
1462,159690.71533602173
1463,182671.03224604717
1464,195165.84298068093
1465,192853.5683118836
1466,171496.856124132
1467,176302.5102928071
1468,165844.91626241966
1469,187800.1644454045
1470,123983.10147890972
1471,189422.2271887307
1472,97282.37239014244
1473,97435.7975305598
1474,146821.18050948766
1475,112411.14156552133
1476,367994.0395158784
1477,251377.1989550776
1478,289317.8555616096
1479,294629.73286979285
1480,489075.1286067391
1481,341770.17129364674
1482,216962.06238290438
1483,175866.77945335605
1484,161431.25347210834
1485,185053.36615348668
1486,195025.4674745546
1487,343249.64093619445
1488,237911.76620628024
1489,194105.29106254707
1490,237574.17849412217
1491,189514.0550426442
1492,91989.07026818318
1493,179640.8035240634
1494,292978.5921997
1495,290015.5264990521
1496,229311.94132576484
1497,177434.5394302341
1498,161777.7645499742
1499,158057.62916345635
1500,154228.5217933018
1501,176517.20311774756
1502,147364.69948492091
1503,283955.3317470874
1504,245667.1176711513
1505,229276.19303488123
1506,190063.39390451394
1507,241394.4374889847
1508,194679.51232544275
1509,164120.5990164474
1510,143739.9249650385
1511,149738.9474230258
1512,172950.11281617088
1513,137420.14394279296
1514,150670.0351105178
1515,192163.98028674597
1516,151515.47107114413
1517,166248.37742788895
1518,131265.17539959901
1519,212150.4172105844
1520,133262.63147868947
1521,134295.0707301192
1522,174246.89818230708
1523,112261.12878692387
1524,125610.26141453531
1525,121119.63796532524
1526,107497.74829022646
1527,105234.67074533792
1528,142571.50329552736
1529,151789.98088487884
1530,180328.10449238901
1531,106334.4329699923
1532,96552.96641816296
1533,148928.87975045334
1534,124329.2016353649
1535,155983.69345370517
1536,107353.5133286039
1537,62438.20071516417
1538,152504.61436110127
1539,197388.09910849226
1540,91066.0251283965
1541,144204.1290185349
1542,139967.87451052997
1543,199030.22487138593
1544,84520.19440851238
1545,109381.79286043368
1546,130102.69237676007
1547,129954.17520327301
1548,136034.37081557652
1549,118551.50842178769
1550,131671.05661143962
1551,108900.40296197671
1552,136671.4379575411
1553,149735.22647008082
1554,116322.07490192246
1555,170814.54492060593
1556,87472.81738647372
1557,101910.43874535455
1558,96074.90065654316
1559,78479.15152709404
1560,131217.13208120046
1561,124547.55454589892
1562,126835.4570870229
1563,118689.50147507896
1564,160957.89564597252
